Company Name,Employees,HQ Location,Ownership Status,Description,Verticals,Primary Industry Sector,Primary Industry Group,Last Financing Date,Last Financing Deal Type,Last Financing Deal Type 2,Last Financing Size,Last Financing Valuation,Total Raised,# Active Investors,Active Investors,Website
ObEN,100,"Pasadena, CA",Privately Held (backing),"Developer of an artificial intelligence speech technology designed to define artificial intelligence and its applications. The company's artificial intelligence speech technology personalizes the voices of virtual characters with the user's own voice in various virtual reality environments and helps them to use it across all speaking and singing devices and applications, enabling consumers and celebrities with a personal AI to represent them in the digital world.","Artificial Intelligence & Machine Learning, Augmented Reality, TMT, Virtual Reality",Information Technology,Software,9-Jan-18,Corporate,Corporate,10,,23.78,21,"CrestValue Capital, Cybernaut (China) Investment, Cybernaut Zfounder Ventures, Dream Maker Entertainment, E3 Capital, Fengshion Capital Partners, Gordon Cheng, Idealab, Inmaginator, K11, Leaguer Venture Investment Co., Li Ruigang, NewDo Venture, NewMargin Ventures, Nextplay Ventures, PreAngel, SoftBank Ventures Asia, Tencent Holdings, Third Wave Digital, Vive X Accelerator, Westlake Ventures",www.oben.me
Filld,100,"Mountain View, CA",Privately Held (backing),"Developer of an on-demand fuel delivery platform designed to deliver gas to car anytime and anywhere. The company's platform helps to fill the car's gas tank while the users are at their work, home or at gym, enabling them to save time by not stopping at the gas station for last mile mobile fueling.","Mobile, Oil & Gas, TMT",Information Technology,Software,23-Oct-18,Early Stage VC,Series B,15,65,31.69,9,"Cendana Capital, Hallador Investment Advisors, Javelin Venture Partners, Lightspeed Venture Partners, Lucas Venture Group, Mark IV Capital, Parkland Fuel, PivotNorth Capital, Shea Ventures",www.filld.com
Optimus Ride,100,"Boston, MA",Privately Held (backing),"Developer of self driving technologies designed to enable safe, sustainable and equitable mobility services. The company's technology leverages advances in complex sensor fusion, mapping, computer vision and machine learning to deploy a new form of transportation system that enables sustainable and equitable mobility access, enabling public to use transportation from commercial vessel operations to transit options.","Artificial Intelligence & Machine Learning, Autonomous cars, Big Data, Industrials, LOHAS & Wellness, TMT",Consumer Products and Services (B2C),Transportation,22-Apr-19,Early Stage VC,Series B,20.71,145.71,43.96,13,"Eight Roads, Emerson Collective, FirstMark Capital, F-Prime Capital Partners, Fraser McCombs Capital, Greycroft, Haystack, Joichi Ito, Morado Venture Partners, NextView Ventures, NVIDIA GPU Ventures, TheVentureCity, UJ Ventures",www.optimusride.com
Zum,100,"Redwood City, CA",Privately Held (backing),"Provider of on demand ride and care services intended to offer reliable child transportation and care for children. The company's ride sharing service provides safe and reliable child transportation for schools and parents by providing flexible ride options, through highly vetted drivers via its mobile application, enabling parents to save time spent driving children to school and other activities.","Mobile, Ridesharing, TMT",Consumer Products and Services (B2C),Transportation,17-Jan-19,Later Stage VC,Series C,44,194,68.5,18,"All Iron Ventures, AngelPad, BMW i Ventures, Citi Ventures, Clearvision Ventures, DNX Ventures, FundersClub, Graphene Ventures, Hemisphere Ventures, NGP Capital, Richmond View Ventures, Sand Hill Angels, Sequoia Capital, Spark Capital, Stanford Angels and Entrepreneurs, TSVC, Ulu Ventures, Volvo Car",www.ridezum.com
FlyHomes,100,"Evanston, IL",Privately Held (backing),"Provider of a full-service non-traditional real estate brokerage and technology platform focused on re-imagining home buying and selling. The company's disruptive platform offers segmented expertise and a cash offer to advance payment in cash to the seller, providing buyers with more time to shop for lower rates from lenders and the ability to buy the home they want.","FinTech, Mortgage Tech, Real Estate Technology, TMT",Information Technology,Software,31-May-18,Early Stage VC,Series A1,17,67,21,5,"Alexander Goldstein, Andreessen Horowitz, Mark Vadon, Pritzker Group Venture Capital, Shasta Ventures",www.flyhomes.com
Dosh,100,"Bee Cave, TX",Privately Held (backing),"Developer of a card-linked offer platform intended to automatically put cash into the wallets of consumers whenever they shop and dine. The company's platform searches available coupons, promo codes and rebates and gives cash back from available restaurants, retail stores, hotels and more, enabling users to earn cash for their travel bookings and transfer it to their bank or donate to charity from the app.","FinTech, Mobile, TMT",Information Technology,Software,22-Jan-19,Early Stage VC,Series B,40,300,97.15,13,"Alex Ok, Anthem Venture Partners, BAM Capital, Brett Hurt, Bull Creek Capital, Charles Kim, Chetrit Ventures, Extol Capital, Goodwater Capital, Next Coast Ventures, PayPal Ventures, Troy Capital Partners, Western Technology Investment",www.dosh.cash
Flo Health,100,"Wilmington, DE",Privately Held (backing),"Developer of a period tracking application designed for women to track and predict menstrual cycles, ovulation and fertile days. The company's application uses artificial intelligence to examine the mood swings and physical changes and provide detailed analytics which shows personalized recurring patterns to deliver the most personalized content and services available, enabling women to receive personalized health insights anytime and anywhere.","Artificial Intelligence & Machine Learning, Digital Health, FemTech, HealthTech, Mobile, TMT",Information Technology,Software,11-Oct-18,Early Stage VC,Series A,12.9,212.9,15,7,"Flint Capital, Haxus, Mangrove Capital Partners, Matvey Timoshenko, Natalia Vodianova, Peter Skoromnyi, Social Discovery Ventures",www.flo.health
Fortem Technologies,100,"Provo, UT",Privately Held (backing),"Provider of an AI-enabled drone object-detection system for airspace security and safety. The company's system is an AI-enabled real-time intrusion detection platform which delivers ultra small SWaP-C radar which enables autonomous applications by insuring a clear airspace for UAS operations such as routine infrastructure monitoring, perimeter intrusion alerting and protection, providing companies with airspace safety and critical infrastructure security.","Artificial Intelligence & Machine Learning, Industrials, Robotics and Drones, TMT",Business Products and Services (B2B),Commercial Products,29-Mar-18,Early Stage VC,Series A,16.37,46.37,21.87,6,"Boeing HorizonX, Data Collective, Manifest Investment Partners, Mubadala Investment Company, New Ground Ventures, Signia Venture Partners",www.fortemtech.com
Ouster,100,"San Francisco, CA",Privately Held (backing),"Developer of high performance LIDAR technology intended to bring 3D sensing to commercial scale in the robotics, autonomous vehicle, security, defense, and drone industries. The company's patented technology offers industry leading performance, scalability, reliability and form factor, enabling customers to localize, map, and perceive their environments for their machines and robots.","Autonomous cars, TMT",Business Products and Services (B2B),Commercial Products,25-Mar-19,Early Stage VC,Series A1,60,,90,11,"Amity Ventures, Carthona Capital, Constellation Technology Ventures, Cox Enterprises, CSC UpShot Ventures, Cthulhu Ventures, Fontinalis Partners, Redbus Group, Runway Growth Capital, Silicon Valley Bank, Tao Capital Partners",www.ouster.io
RXQ Compounding,100,"Athens, OH",Privately Held (backing),"Manufacturer of sterile and non-sterile medications. The company's products are made from their patented stringent procedural manual applying 503B FDA outsourcing facility providing doctors, veterinarians and hospitals with quality drugs with minimal delivery time for their patients to achieve optimum outcomes.",,Healthcare,Pharmaceuticals and Biotechnology,23-Jul-18,Early Stage VC,Series A,7,,,3,"Advantage Capital (St. Louis), Ohio Innovation Fund, TechGROWTH Ohio",www.rxqcompounding.com
Harness (Software Delivery Platform),100,"San Francisco, CA",Privately Held (backing),"Developer of a continuous delivery-as-a-service platform created to simplify the software delivery process for software engineers. The company's software platform utilizes machine learning and offers real-time delivery analytics, live notifications, continuous verification, workflow wizards as well as a pipeline builder, enabling software engineers to save time by automating the scripting process.","Artificial Intelligence & Machine Learning, Big Data, SaaS, TMT",Information Technology,Software,23-Apr-19,Early Stage VC,Series B,60,500,79.42,6,"BIG Labs, GV, IVP, Menlo Ventures, ServiceNow Ventures, Unusual Ventures",www.harness.io
Esperanto Technologies,100,"Mountain View, CA",Privately Held (backing),"Developer of an energy-efficient computing technology for Artificial Intelligence (AI) and Machine Learning applications based on the open standard RISC-V Instruction Set Architecture (ISA). The company develops high-performance, energy-efficient computing solutions based on the open standard RISC-V ISA, providing chip manufacturers and industrial players with access to powerful computer architecture.","Artificial Intelligence & Machine Learning, Big Data, CleanTech, Digital Health, Manufacturing, TMT",Information Technology,Computer Hardware,5-Nov-18,Early Stage VC,Series B,58,158.02,63.6,4,"Comet Labs, Decent Capital, Fort Ross Ventures, Western Digital Capital",www.esperanto.ai
SambaNova Systems,100,"Palo Alto, CA",Privately Held (backing),"Developer of an advanced systems platform and hardware designed to power machine learning and data analytics. The company's platform is focused on developing a system architecture that is flexible, scalable and optimized for dataflow, enabling manufacturers with AI-powered hardware to create faster and more efficient algorithms.","Artificial Intelligence & Machine Learning, Big Data, TMT",Information Technology,Semiconductors,1-Apr-19,Later Stage VC,Series B,150,900,210.6,6,"Atlantic Bridge Capital, GV, Intel Capital, Redline Capital Management, Walden International, WRV Capital",www.sambanova.ai
RealWear,91,"Vancouver, WA",Privately Held (backing),"Developer of a hands-free headset designed to improve safety and increase productivity at industrial work. The company's hands-free headset receives information and voice messages even in noisy environments from android tablets, web and from co-workers while working at construction sites, enabling workers to perform their work easily with the help of hands-free industrial head-mounted wearable computer.","Advanced Manufacturing, Artificial Intelligence & Machine Learning, Augmented Reality, Internet of Things, TMT, Wearables & Quantified Self",Information Technology,Computer Hardware,7-Feb-19,Early Stage VC,,5,,22.07,4,"Columbia Ventures, Mentors Fund, Plug and Play Tech Center, Realmax Technology",www.realwear.com
